iter	Passed	Remaining
307	26140	58730
308	26229	58656
309	26311	58565
310	26400	58488
311	26478	58387
312	26555	58285
313	26635	58190
314	26721	58107
315	26806	58024
316	26899	57956
317	26973	57849
318	27054	57756
319	27128	57647
320	27219	57576
321	27297	57477
322	27378	57384
323	27469	57313
324	27558	57237
325	27641	57148
326	27713	57037
327	27809	56975
328	27884	56871
329	27955	56758
330	28032	56658
331	28100	56539
332	28174	56433
333	28244	56319
334	28316	56210
335	28388	56100
336	28452	55976
337	28523	55866
338	28599	55764
339	28675	55663
340	28737	55535
341	28797	55406
342	28875	55309
343	28947	55202
344	29020	55096
345	29085	54977
346	29155	54866
347	29233	54770
348	29305	54664
349	29382	54567
350	29463	54477
351	29535	54372
352	29611	54274
353	29694	54189
354	29768	54086
355	29834	53969
356	29905	53862
357	29984	53770
358	30056	53666
359	30127	53559
360	30201	53459
361	30274	53357
362	30348	53255
363	30408	53131
364	30476	53020
365	30552	52924
366	30614	52804
367	30682	52693
368	30759	52599
369	30824	52485
370	30894	52378
371	30975	52292
372	31064	52217
373	31149	52137
374	31250	52083
375	31349	52027
376	31434	51945
377	31511	51851
378	31590	51761
379	31668	51669
380	31742	51571
381	31816	51473
382	31893	51379
383	31963	51275
384	32044	51188
385	32121	51094
386	32201	51006
387	32270	50901
388	32341	50799
389	32415	50701
390	32485	50597
391	32554	50492
392	32618	50380
393	32680	50264
394	32754	50168
395	32826	50069
396	32899	49970
397	32965	49862
398	33039	49766
399	33106	49659
400	33170	49548
401	33234	49438
402	33300	49331
403	33368	49227
404	33434	49120
405	33513	49031
406	33583	48931
407	33650	48826
408	33728	48737
409	33801	48641
410	33877	48550
411	33958	48464
412	34026	48362
413	34098	48264
414	34180	48182
415	34259	48095
416	34336	48005
417	34414	47916
418	34486	47820
419	34552	47714
420	34622	47616
421	34696	47522
422	34770	47429
423	34833	47321
424	34909	47231
425	34974	47125
426	35041	47023
427	35115	46929
428	35185	46832
429	35258	46738
430	35331	46643
431	35401	46546
432	35477	46456
433	35553	46366
434	35628	46276
435	35699	46179
436	35764	46076
437	35838	45984
438	35918	45900
439	35987	45802
440	36058	45706
441	36124	45605
442	36205	45522
443	36280	45432
444	36351	45337
445	36421	45241
446	36495	45149
447	36558	45045
448	36640	44964
449	36717	44877
450	36777	44769
451	36850	44677
452	36913	44573
453	36984	44478
454	37052	44381
455	37114	44277
456	37185	44183
457	37257	44090
458	37320	43988
459	37411	43917
460	37481	43823
461	37551	43728
462	37629	43643
463	37703	43554
464	37780	43468
465	37855	43379
466	37932	43293
467	37999	43195
468	38067	43100
469	38135	43003
470	38207	42912
471	38283	42825
472	38355	42734
473	38427	42643
474	38509	42563
475	38589	42480
476	38663	42391
477	38740	42306
478	38817	42220
479	38894	42135
480	38965	42044
481	39032	41948
482	39116	41870
483	39192	41783
484	39264	41693
485	39335	41602
486	39404	41507
487	39477	41418
488	39573	41353
489	39646	41264
490	39725	41181
491	39802	41096
492	39877	41010
493	39955	40926
494	40033	40842
495	40162	40809
496	40288	40774
497	40569	40895
498	40705	40868
499	40785	40785
500	40857	40694
501	40937	40611
502	41033	40543
503	41110	40457
504	41192	40376
505	41283	40304
506	41379	40237
507	41478	40171
508	41591	40120
509	41707	40071
510	41798	39998
511	41884	39921
512	41978	39850
513	42075	39783
514	42180	39723
515	42270	39649
516	42351	39566
517	42431	39482
518	42510	39397
519	42584	39308
520	42669	39229
521	42763	39159
522	42843	39075
523	42918	38987
524	43008	38912
525	43110	38848
526	43186	38760
527	43270	38680
528	43358	38604
529	43442	38524
530	43541	38457
531	43643	38393
532	43722	38308
533	43800	38223
534	43877	38136
535	43967	38061
536	44041	37972
537	44127	37893
538	44213	37815
539	44295	37732
540	44374	37648
541	44457	37567
542	44551	37495
543	44701	37470
544	44797	37399
545	44881	37319
546	44964	37237
547	45054	37161
548	45134	37077
549	45219	36998
550	45295	36910
551	45366	36819
552	45454	36741
553	45522	36647
554	45601	36563
555	45686	36483
556	45766	36399
557	45843	36312
558	45910	36218
559	45992	36136
560	46066	36048
561	46131	35952
562	46203	35863
563	46287	35782
564	46366	35698
565	46446	35614
566	46528	35532
567	46622	35459
568	46692	35368
569	46766	35280
570	46838	35190
571	46911	35101
572	46996	35021
573	47072	34935
574	47151	34850
575	47230	34767
576	47308	34681
577	47400	34607
578	47475	34520
579	47552	34434
580	47648	34362
581	47734	34283
582	47815	34200
583	47905	34124
584	47979	34036
585	48068	33959
586	48151	33878
587	48232	33795
588	48301	33704
589	48374	33616
590	48450	33529
591	48520	33440
592	48591	33350
593	48667	33264
594	48736	33173
595	48812	33087
596	48880	32996
597	48954	32909
598	49026	32820
599	49100	32733
600	49172	32645
601	49241	32554
602	49316	32469
603	49394	32384
604	49473	32301
605	49547	32213
606	49615	32123
607	49680	32030
608	49743	31937
609	49813	31848
610	49892	31764
611	49963	31676
612	50048	31596
613	50119	31508
614	50187	31418
615	50272	31338
616	50350	31254
617	50418	31164
618	50487	31075
619	50563	30990
620	50639	30905
621	50711	30818
622	50780	30728
623	50846	30638
624	50922	30553
625	50992	30465
626	51073	30383
627	51139	30292
628	51200	30199
629	51265	30108
630	51336	30020
631	51412	29936
632	51491	29853
633	51576	29774
634	51667	29698
635	51747	29616
636	51814	29526
637	51879	29436
638	51953	29351
639	52023	29263
640	52100	29179
641	52173	29093
642	52249	29009
643	52334	28930
644	52407	28844
645	52484	28760
646	52558	28675
647	52639	28594
648	52711	28507
649	52784	28422
650	52845	28330
651	52937	28254
652	53010	28169
653	53111	28098
654	53210	28026
655	53295	27947
656	53386	27871
657	53475	27794
658	53551	27710
659	53634	27630
660	53753	27568
661	53830	27484
662	53908	27401
663	53978	27314
664	54060	27233
665	54159	27161
666	54231	27074
667	54324	26999
668	54411	26921
669	54487	26837
670	54569	26755
671	54659	26679
672	54739	26597
673	54818	26514
674	54894	26430
675	54970	26346
676	55044	26262
677	55123	26179
678	55199	26095
679	55284	26016
680	55366	25935
681	55442	25851
682	55516	25766
683	55586	25680
684	55670	25600
685	55739	25513
686	55813	25428
687	55877	25339
688	55946	25252
689	56012	25164
690	56078	25077
691	56157	24994
692	56230	24909
693	56305	24826
694	56377	24741
695	56450	24656
696	56523	24571
697	56598	24488
698	56665	24401
699	56736	24315
700	56815	24233
701	56886	24148
702	56953	24061
703	57029	23978
704	57104	23894
705	57168	23806
706	57227	23716
707	57309	23636
708	57380	23550
709	57444	23463
710	57510	23376
711	57582	23291
712	57649	23205
713	57760	23136
714	57834	23052
715	57905	22968
716	57981	22885
717	58054	22801
718	58119	22714
719	58206	22635
720	58285	22554
721	58350	22467
722	58425	22384
723	58485	22295
724	58556	22211
725	58622	22124
726	58684	22037
727	58755	21952
728	58820	21866
729	58881	21777
730	58950	21693
731	59021	21609
732	59084	21522
733	59156	21438
734	59227	21354
735	59296	21269
736	59387	21192
737	59452	21106
738	59513	21018
739	59583	20934
740	59673	20857
741	59746	20774
742	59814	20689
743	59884	20605
744	59954	20521
745	60028	20438
746	60106	20357
747	60177	20273
748	60269	20197
749	60358	20119
750	60447	20041
751	60527	19961
752	60612	19882
753	60691	19801
754	60788	19726
755	60883	19650
756	60964	19569
757	61049	19490
758	61129	19409
759	61212	19330
760	61285	19247
761	61357	19164
762	61427	19080
763	61501	18997
764	61581	18917
765	61683	18843
766	61754	18759
767	61828	18677
768	61905	18595
769	61975	18512
770	62040	18427
771	62116	18345
772	62192	18263
773	62264	18180
774	62340	18098
775	62407	18014
776	62477	17931
777	62548	17848
778	62617	17764
779	62692	17682
780	62766	17600
781	62841	17518
782	62914	17435
783	62974	17350
784	63046	17267
785	63115	17184
786	63186	17101
787	63261	17019
788	63334	16937
789	63403	16854
790	63468	16769
791	63544	16688
792	63625	16608
793	63796	16551
794	63922	16483
795	64034	16410
796	64106	16328
797	64178	16245
798	64265	16167
799	64343	16085
800	64423	16005
801	64505	15925
802	64590	15846
803	64676	15767
804	64781	15692
805	64863	15612
806	64948	15532
807	65043	15455
808	65120	15374
809	65202	15294
810	65280	15213
811	65367	15134
812	65448	15054
813	65539	14975
814	65622	14895
815	65703	14815
816	65855	14750
817	65988	14682
818	66075	14602
819	66151	14520
820	66230	14440
821	66308	14358
822	66391	14278
823	66501	14204
824	66571	14121
825	66642	14038
826	66720	13957
827	66800	13876
828	66879	13795
829	66948	13712
830	67028	13631
831	67109	13550
832	67184	13469
833	67260	13387
834	67338	13306
835	67416	13225
836	67491	13143
837	67574	13063
838	67650	12981
839	67723	12899
840	67796	12817
841	67864	12734
842	67944	12653
843	68058	12579
844	68153	12501
845	68219	12418
846	68305	12338
847	68398	12260
848	68467	12177
849	68555	12097
850	68639	12017
851	68719	11937
852	68800	11856
853	68872	11774
854	68953	11693
855	69027	11612
856	69103	11530
857	69175	11448
858	69257	11368
859	69331	11286
860	69413	11206
861	69487	11124
862	69559	11042
863	69638	10961
864	69736	10883
865	69839	10806
866	69941	10729
867	70040	10651
868	70136	10572
869	70216	10492
870	70297	10411
871	70372	10329
872	70446	10248
873	70517	10166
874	70600	10085
875	70707	10008
876	70816	9932
877	70884	9849
878	70952	9767
879	71018	9684
880	71087	9602
881	71158	9520
882	71237	9439
883	71309	9357
884	71377	9274
885	71444	9192
886	71512	9110
887	71581	9028
888	71655	8946
889	71734	8866
890	71815	8785
891	71893	8704
892	71966	8623
893	72044	8542
894	72130	8462
895	72215	8382
896	72289	8300
897	72364	8219
898	72445	8138
899	72511	8056
900	72585	7975
901	72658	7894
902	72734	7813
903	72809	7731
904	72878	7650
905	72946	7568
906	73013	7486
907	73085	7405
908	73149	7322
909	73212	7240
910	73279	7159
911	73352	7077
912	73429	6997
913	73507	6916
914	73580	6835
915	73648	6753
916	73729	6673
917	73792	6591
918	73863	6510
919	73950	6430
920	74018	6349
921	74092	6268
922	74157	6186
923	74233	6105
924	74297	6024
925	74375	5943
926	74444	5862
927	74522	5781
928	74590	5700
929	74660	5619
930	74733	5538
931	74810	5458
932	74894	5378
933	74968	5297
934	75073	5219
935	75164	5139
936	75232	5058
937	75304	4977
938	75378	4896
939	75447	4815
940	75514	4734
941	75583	4653
942	75658	4573
943	75729	4492
944	75804	4411
945	75869	4330
946	75941	4250
947	76010	4169
948	76075	4088
949	76142	4007
950	76211	3926
951	76276	3845
952	76346	3765
953	76417	3684
954	76476	3603
955	76546	3523
956	76610	3442
957	76680	3361
958	76778	3282
959	76855	3202
960	76944	3122
961	77019	3042
962	77087	2961
963	77166	2881
964	77269	2802
965	77384	2723
966	77502	2644
967	77626	2566
968	77729	2486
969	77823	2406
970	77903	2326
971	77984	2246
972	78062	2166
973	78161	2086
974	78282	2007
975	78388	1927
976	78482	1847
977	78566	1767
978	78640	1686
979	78715	1606
980	78792	1526
981	78873	1445
982	78956	1365
983	79032	1285
984	79139	1205
985	79241	1125
986	79331	1044
987	79406	964
988	79486	884
989	79558	803
990	79626	723
991	79692	642
992	79757	562
993	79824	481
994	79897	401
995	79975	321
996	80035	240
997	80102	160
998	80167	80
999	80238	0
