iter	RMSE
537	0.667311443
538	0.6671636514
539	0.6669924868
540	0.6668487983
541	0.6667005365
542	0.6665442023
543	0.6663957692
544	0.6662643542
545	0.6661204322
546	0.6660053477
547	0.6658659629
548	0.6657097278
549	0.6655481515
550	0.6654267596
551	0.6652950208
552	0.6651314864
553	0.6650291509
554	0.6648897015
555	0.6646937322
556	0.6645682404
557	0.664399653
558	0.6642858439
559	0.6641217108
560	0.6639898809
561	0.6638646715
562	0.6637232971
563	0.6635829894
564	0.6634302842
565	0.6632915172
566	0.6631491123
567	0.6630006201
568	0.6628768559
569	0.6627494817
570	0.6625713983
571	0.6624005624
572	0.6622711329
573	0.6620840336
574	0.661931793
575	0.6617784956
576	0.6616172407
577	0.6614741452
578	0.6613220636
579	0.6611816178
580	0.6610394176
581	0.6608946012
582	0.6607426471
583	0.6605582108
584	0.6604221123
585	0.6602656682
586	0.6601145685
587	0.6599456946
588	0.659804683
589	0.6596858493
590	0.6595517207
591	0.6594303778
592	0.6592942783
593	0.6591757605
594	0.6590668206
595	0.6589089981
596	0.6587454228
597	0.6586095654
598	0.6584768886
599	0.6583301985
600	0.6582202349
601	0.6580904098
602	0.6579512979
603	0.6578072454
604	0.6576907592
605	0.6575427778
606	0.6573913581
607	0.6572669143
608	0.6571338759
609	0.656967735
610	0.6568321594
611	0.6566900103
612	0.6565070458
613	0.6563806002
614	0.6562362635
615	0.6561037587
616	0.6559528511
617	0.6558143738
618	0.6556712057
619	0.6555097215
620	0.655347143
621	0.6552129471
622	0.6550417731
623	0.6548722131
624	0.6547220381
625	0.654606825
626	0.654467749
627	0.6543416351
628	0.6542156875
629	0.6540659017
630	0.6539471513
631	0.6538262138
632	0.653649908
633	0.6535002088
634	0.653333533
635	0.6531908667
636	0.653067976
637	0.6529568818
638	0.652828906
639	0.6526819235
640	0.6525541423
641	0.6524166585
642	0.6522818557
643	0.6521447496
644	0.6519673381
645	0.6518217131
646	0.6516974746
647	0.6515363192
648	0.6513895481
649	0.6512467335
650	0.6511261401
651	0.6509683546
652	0.6508226763
653	0.6506629986
654	0.6504901999
655	0.6503615409
656	0.6502224978
657	0.6500503931
658	0.6499047035
659	0.6497961162
660	0.6496400068
661	0.6495291729
662	0.649400133
663	0.6492579082
664	0.6491151256
665	0.648956102
666	0.6488120447
667	0.6487093008
668	0.6485700923
669	0.6484442048
670	0.6482694503
671	0.6481236832
672	0.6479543664
673	0.6478208011
674	0.6476379346
675	0.6475103135
676	0.6474185831
677	0.6473245818
678	0.6471916099
679	0.6470647627
680	0.6469321797
681	0.6468051253
682	0.6466599641
683	0.646549081
684	0.6463497376
685	0.646228812
686	0.6460888285
687	0.6459707157
688	0.6458077711
689	0.6456785576
690	0.6455468743
691	0.6453987282
692	0.6452691299
693	0.6451215409
694	0.6449912701
695	0.6448381751
696	0.6447059753
697	0.6445730921
698	0.6444442629
699	0.6443448794
700	0.6442083438
701	0.6440478316
702	0.6439316245
703	0.6438067904
704	0.6436839387
705	0.6435668687
706	0.6434603163
707	0.6433124647
708	0.643178559
709	0.6430367427
710	0.6429090784
711	0.6427653393
712	0.6426511536
713	0.6425515606
714	0.6424142671
715	0.6423154311
716	0.6421818483
717	0.6420932016
718	0.64197081
719	0.6418503144
720	0.6417417647
721	0.64163465
722	0.6415004337
723	0.6413973139
724	0.6412690451
725	0.6411482739
726	0.6410280607
727	0.6408764433
728	0.6407623607
729	0.6406627115
730	0.6405541602
731	0.6404337868
732	0.640323378
733	0.6402064225
734	0.64008305
735	0.6399678977
736	0.6398447161
737	0.6396762227
738	0.6395545452
739	0.639390888
740	0.6392506912
741	0.6391158997
742	0.6389804907
743	0.6388248297
744	0.6387210839
745	0.6385817962
746	0.6384466868
747	0.6382989856
748	0.6381595635
749	0.6380233277
750	0.6378754331
751	0.6377690773
752	0.6376427227
753	0.6375368867
754	0.6374316041
755	0.6372612761
756	0.637155433
757	0.6370240372
758	0.6369133115
759	0.6367612443
760	0.636636495
761	0.6364904206
762	0.6363485073
763	0.6361907652
764	0.6360662306
765	0.6359250232
766	0.6358116169
767	0.635685689
768	0.6355507786
769	0.6354281713
770	0.6353156502
771	0.6351757205
772	0.6350633999
773	0.6349589841
774	0.6348374866
775	0.6347573628
776	0.6346372137
777	0.634526073
778	0.634416716
779	0.634275707
780	0.6341317484
781	0.6339998187
782	0.6338819122
783	0.6337905526
784	0.6336709226
785	0.633529312
786	0.6334227025
787	0.6333054004
788	0.6331823913
789	0.6330789829
790	0.6329609756
791	0.6328315054
792	0.6327015236
793	0.6325527105
794	0.632432728
795	0.6323247302
796	0.6322173977
797	0.6321286176
798	0.6319875149
799	0.6318383018
800	0.631715489
801	0.6315688065
802	0.631468542
803	0.6313315539
804	0.6311865912
805	0.6310873863
806	0.6309771818
807	0.6308232711
808	0.6306856771
809	0.6305585038
810	0.6304385557
811	0.6302878257
812	0.6301628387
813	0.6300330083
814	0.6299061715
815	0.6297854054
816	0.6296393173
817	0.6294953973
818	0.629388383
819	0.6292809868
820	0.6291572077
821	0.6290439971
822	0.6289393211
823	0.6288370308
824	0.628706091
825	0.6285899394
826	0.6284713067
827	0.6283360142
828	0.6282160032
829	0.6281033409
830	0.6279792733
831	0.6278384242
832	0.6277451962
833	0.6276587969
834	0.6275501504
835	0.6274496134
836	0.6273151317
837	0.6271874989
838	0.6270472673
839	0.6269044246
840	0.6267749658
841	0.6266459194
842	0.6265466297
843	0.626425076
844	0.6263173956
845	0.6262269601
846	0.6261481662
847	0.6259951369
848	0.6258833468
849	0.6257433478
850	0.6255931308
851	0.6254721453
852	0.6253438378
853	0.6252418469
854	0.6251066043
855	0.6249846642
856	0.6248321378
857	0.6247174113
858	0.6246050125
859	0.6244865654
860	0.6243469513
861	0.624219621
862	0.6241180232
863	0.6239636722
864	0.6238240142
865	0.6237335553
866	0.6236036116
867	0.6235197552
868	0.6233953936
869	0.6232946707
870	0.6231606675
871	0.6230584905
872	0.6229573152
873	0.6227971189
874	0.6226899964
875	0.6225896312
876	0.6224856009
877	0.6223882705
878	0.6222612405
879	0.6221642077
880	0.6220671388
881	0.6219537215
882	0.6218269725
883	0.6217127541
884	0.6215927347
885	0.6214811784
886	0.6213546438
887	0.6212501975
888	0.6211264195
889	0.6209963972
890	0.6208646711
891	0.6207400642
892	0.6206236817
893	0.6204924464
894	0.6203596499
895	0.6202403324
896	0.6201319996
897	0.6200421227
898	0.6199033374
899	0.6198096799
900	0.6196663255
901	0.6195513286
902	0.6194680329
903	0.6193403906
904	0.6192318722
905	0.619133921
906	0.6190218206
907	0.6189046199
908	0.6188051062
909	0.6187192629
910	0.6185955663
911	0.6184618528
912	0.6183378422
913	0.6182085575
914	0.6180732166
915	0.6179510609
916	0.6178098881
917	0.6176930255
918	0.6175672466
919	0.6174330976
920	0.61733814
921	0.6172345622
922	0.6171134434
923	0.6170096932
924	0.6169202122
925	0.6168075949
926	0.616686949
927	0.6165415149
928	0.6164425788
929	0.6163172934
930	0.6161926195
931	0.6160818079
932	0.6159461954
933	0.6158259304
934	0.615694278
935	0.6155521326
936	0.6154490654
937	0.6153427396
938	0.6152066172
939	0.6150949458
940	0.6149913592
941	0.6148600163
942	0.6147305848
943	0.6146081863
944	0.6145058709
945	0.6144140295
946	0.6142711896
947	0.6141337617
948	0.6140008108
949	0.6139040441
950	0.613802527
951	0.613702685
952	0.6136000129
953	0.6134783224
954	0.6133912501
955	0.6132689319
956	0.6131546378
957	0.6130612849
958	0.6129419799
959	0.6128419765
960	0.612743062
961	0.6126224369
962	0.6125268305
963	0.6124010392
964	0.6122955477
965	0.6121698935
966	0.6120692666
967	0.6119464834
968	0.6118413539
969	0.6117116457
970	0.6116012626
971	0.6114877271
972	0.6113405925
973	0.611233843
974	0.6111006553
975	0.6109422072
976	0.610809829
977	0.6106923553
978	0.6105560965
979	0.6104304361
980	0.6103043285
981	0.6102018414
982	0.6100780187
983	0.609978307
984	0.609877676
985	0.609757737
986	0.6096387477
987	0.6095114934
988	0.6093883269
989	0.6092610749
990	0.6091362431
991	0.6090407485
992	0.6089173096
993	0.6087937821
994	0.6086799328
995	0.6085478161
996	0.6084368389
997	0.6083295899
998	0.6082352216
999	0.6081076825
